Id,Title,Content_
10,                 سقوط هواپیما در اسپانیا             ,این حادثه در ساعت ۱۱ و ۳۸ دقیقه به وقت محلی روی داد. نیروهای امدادی و آتش‌نشانی به محل حادثه اعزام شده‌اند.
11,                 اینترنت همراه در ایلام وصل شد             ,بامداد دیروز نیز اینترنت ثابت خانگی (مودم وای فای ) در استان ایلام وصل شد و دارندگان اینترنت ثابت خانگی توانستند از طریق وای فای به اینترنت و شبکه های مجازی دسترسی پیدا کنند.
12,                 کشف یک تن و 328 کیلو مواد مخدر در سیستان و بلوچستان             ,وی افزود تحقیقات پلیس برای شناسایی و دستگیری دیگر اعضای این باند مسلحانه قاچاق ادامه دارد.
13,                 آغاز ثبت تقاضای حمایت معیشتی             ,وی درباره انجام فرآیند رسیدگی به صورت غیرحضوری یادآور شد: با توجه به اینکه تدابیر لازم برای بررسی غیرحضوری درخواست متقاضیان درنظر گرفته شده است، نیاز به هیچگونه مراجعه حضوری به ادارات کل تعاون، کار و رفاه اجتماعی در استان‌ها و زیر مجموعه‌های آن نظیر سازمان تامین اجتماعی، صندوق بازنشستگی کشوری، سازمان بهزیستی، صندوق بیمه اجتماعی روستائیان و عشایر و سایر نهادها مانند استانداری، فرمانداری، بخشداری و کمیته امداد امام خمینی(ره) نیست.
14,                 معرفی 30 نامزد بهترین بازیکن سال آفریقا             ,اشرف حکیمی (مراکش - بروسیا دورتموند)، آندره اونانا (کامرون - آژاکس)، بغداد بونجاح (الجزایر - السد قطر)، کارولوس آندریاماتسینورو (ماداگاسکار - العدالة عربستان)، دنیس اونیانگو (اوگاندا - ماملودی سن داونز آفریقای جنوبی)، اریک ماکسیم چوپو موتینگ (کامرون - پاری سن ژرمن)، فرجانی ساسی (تونس - الزمالک مصر)، حکیم زیاش (مراکش - آژاکس)، ادریسا گانه گی (سنگال - پاری سن ژرمن)، اسماعیل بن ناصر (الجزایر - آث میلان)، جوردن آیو (غنا - کریستال پالاس)، کالیدو کولیبالی (سنگال - ناپولی)، کوجو فو دو لابا (توگو - العین امارات)،محمود حسن ترزگه (مصر - استون ویلا)، مبوانا ساماتا (تانزانیا - خنک)، محمد صلاح (مصر - لیورپول)، موسی مارگا (مالی - پورتو)، نبی کیتا (گینه - لیورپول)، نیکلاس پپه (ساحل عاج - آرسنال)، اودیون ایگالو (نیجریه - شانگهای شنهوا)، پرسی تاو (آفریقای جنوبی - کلوب بروخه)، پیر-امریک اوبامیانگ (گابن - آرسنال)، ریاض محرز (الجزایر - منچسترسیتی)، سادیو مانه (سنگال - لیورپول)، طه یاسین الخنیسی (تونس - اسپرنس)، توماس پارتی (غنا - اتلتیکو مادرید)، ویکتور اوسیمن (نیجریه - لیل)، ویلفرد اندیدی (نیجریه - لسترسیتی)، ویلفرد زاها (ساحل عاج - کریستال پالاس) و یوسف بلایلی (الجزایر - الاهلی عربستان).
15,                 علوم پزشکی گیلان: رشد 2 برابری سرطان روده بزرگ/ شکل گیری 109 هزار و 673 مورد سرطان جدید             ,مهرابیان از پشه «ایدس» نام برد و اضافه کرد: این پشه سه بیماری تب دنگی، زیکا و چیکونگونیا را ایجاد می کند. البته هنوز در ایران مشاهده نشده، اما در مرزها وجود دارد و به سرعت در حال گسترش است.
16,                 انفجار شدید در یک واحد مسکونی در شرق تهران             ,وی ادامه داد: فرد مصدوم شده به عوامل اورژانس تحویل داده شده و در حال حاضر نیروهای آتش‌نشانی درحال ایمن‌سازی هستند.
17,                 دستگیری کلاهبردار 1.5 میلیارد تومانی در لرستان             ,سردار مهدیان نسب با بیان این‌که افراد سودجو و کلاهبردار از هر شیوه‌ای برای فریب افراد استفاده می‌کنند گفت: شهروندان ضمن هوشیاری در صورت مشاهده موارد مشکوک، مراتب را سریعاً با پلیس ۱۱۰ در میان بگذارند.
18,                 جزئیات جدید از بازداشت پسر آخوندی             ,این گزارش حاکی‌ست فشارهای شدیدی به پیگیری‌کنندگان این پرونده و قوه قضائیه برای آزاد کردن این دو نفر و پیگیری نشدن این پرونده وارد می‌شود.
19,                 دستگیری کلاهبردار میلیاردی در لرستان             ,سردار مهدیان نسب با بیان این‌که افراد سودجو و کلاهبردار از هر شیوه‌ای برای فریب افراد استفاده می‌کنند گفت: شهروندان ضمن هوشیاری در صورت مشاهده موارد مشکوک، مراتب را سریعاً با پلیس ۱۱۰ در میان بگذارند.
20,                 نتانیاهو: از دستیابی ایران به اهدافش جلوگیری می‌کنیم             ,وی در ادامه اظهارات خصمانه خود گفت: تمایل اسرائیل برای جلوگیری از ستیزه‌جویی ایران، مطلق است و اورشلیم از تمامی روش‌ها برای جلوگیری از دستیابی ایران به اهدافش استفاده خواهد کرد. من نمی‌توانم درباره جزئیات این مسائل صحبت کنم.
21,                 پگاه آهنگرانی، صبا آذرپیک و حسین قدیانی در لیست عفو شدگان اخیر             ,یکی دو روز پیش نیز، دو تن از محکومان سیاسی و امنیتی که اسمشان در لیست عفو شدگان قرار داشت به نام‌های عثمان مصطفی پور و محمد نظری نیز از زندان آزاد شدند.
22,                 تکذب کشته شدن دانشجوی دانشگاه علوم پزشکی تبریز             ,بنا بر بررسی‌ها، دانشگاه علوم پزشکی تبریز، دانشجویی به نام الهه رستگار ندارد.
23,                 آزادی گروگان بعد از 140 روز در سیستان و بلوچستان             ,وی با اشاره به توقیف خودرو پژو ۴۰۵ استفاده شده در این آدم ربایی تصریح کرد: متهمان با تشکیل پرونده به مراجع قضائی معرفی شدند.
24,                 توافق دولت موقت بولیوی با مخالفان             ,قتصاد بولیوی به دنبال بحران سیاسی و ناآرامی‌های اخیر با زیان میلیارد دلاری روبرو شده است. اتاق صنایع ملی بولیوی به تازگی اعلام کرد که بخش صنایع و تجارت بولیوی متحمل دست‌کم ۱.۱ میلیارد دلار خسارت شده است.
25,                 مقام آمریکایی: مرحله بعدی برای استیضاح ترامپ در دست انجام است             ,گفتنی است که دموکراتهای آمریکا ترامپ را به سوء استفاده از قدرت و تحت فشار قرار دادن یک متحد آمریکا (دولت اوکراین) برای دخالت در انتخابات این کشور به نفع وی و به زیان رقیب انتخاباتی اش «جو بایدن» متهم می کنند.
26,                 کشته شدن 3 نظامی در حمله داعش به روستایی در عراق             ,به گزارش خبرگزاری صدا و سیما به نقل از تلویزیون العراقیه، در پی حمله بقایای گروه تروریستی داعش به روستای اصلاح در خانقین واقع در استان دیاله عراق ۳ نیروی نظامی عراقی کشته شدند.
27,                 فروریختن پل هوایی در ایتالیا             ,۱۵ ماه پیش نیز ریزش پل بزرگراهی در شهر جنووا در شمال ایتالیا منجر به سقوط چندین خودرو از ارتفاع ۵۰ متری به زمین شد و ده‌ها نفر کشته و زخمی برجا گذاشت.
28,                 پیروزی شارلوا با درخشش 2 بازیکن ایرانی             ,در ادامه نوبت به کاوه رضایی رسید تا زننده گل‌های دوم و سوم تیمش در این دیدار باشد تا شارلوا سه امتیاز ارزشمند این دیدار خارج از خانه را به لطف درخشش بازیکنان ایرانی خود به دست بیاورد.
29,                 اخراج وزیر نیروی دریایی آمریکا به دلیل مخالفت با ترامپ             ,گالاگر یکی از سه نظامی متهم به جنایت جنگی است که هفته گذشته توسط ترامپ مورد عفو قرار گرفتند.
30,                 لیبرمن: اسرای فلسطینی را اعدام کنید             ,ایتامار در تاریخ ۵ فوریه سال گذشته میلادی در شهرک یهودی نشین آریئیل در شمال کرانه باختری با سلاح سرد کشته شد.
31,                 نیاز فوری به اهدای خون در خوزستان             ,بر اساس آمارهای اعلام شده در ایران سالانه بیش از ۲ میلیون و ۵۰۰ هزار نفر برای اهدای خون به مراکز اهدای خون مراجعه می‌کنند که در این میان، ۲ میلیون و ۱۰۰ هزار نفر موفق به اهدای خون می شوند.
32,                 کناره گیری رئیس جمهوری پیشین تونس از سیاست             ,قیس حقوق دان و استاد دانشگاه در دور دوم انتخابات که ۲۱ مهرماه برگزار شد توانست برابر القروی به اکثریت آرا دست یابد.
33,                 60 کشته براثر باران و رانش زمین در کنیا (+عکس)             ,یک مقام منطقه پاکوت روز یک شنبه گفت که 53 نفر کشته شده‌اند که بیشتر آنها بر اثر رانش زمین بوده است. همچنین 7 نفر نیز ناپدیده شده‌اند.
34,                 خوب و بدهای حضور برانکو در تیم ملی             ,به گزارش ایسنا، در حال حاضر نتایج ضعیف ویلموتس با تیم‌ملی فوتبال ایران و نحوه همکاری او با فدراسیون فوتبال به شکلی است که شاید پس از قطع همکاری با این مربی بلژیکی، کسی به فدراسیون بابت این موضوع خرده نگیرد. با این حال موضوع مهم‌تر پس از جدایی ویلموتس از ایران، انتخاب جانشین اوست؛ موضوعی که فدراسیون فوتبال دیگر حق اشتباه در آن را ندارد و باید جدا از شعارهایی که تاکنون داده، به معنای واقعی کلمه از اتفاقات گذشته درس بگیرد و تصمیم درستی برای آینده تیم‌ملی اتخاذ کند.
35,                 غریب‌آبادی: تصویب پروژه‌های جدید میان ایران و آژانس             ,در مجموع، موضوعات تحت پروژه‌های همکاری فنی توسط آژانس، ۳۰ حوزه را در بر می‌گیرد که بهداشت، تغذیه و کشاورزی، و ایمنی و امنیت به ترتیب بالاترین اولویت‌های همکاری میان آژانس و کشورهای عضو را تشکیل می‌دهند.
36,                 بررسی وضعیت بازار مسکن در دومین ماه پاییز             ,خادم المله تصریح کرد: اگر همین ثبات در بازارهای موازی از جمله بازار ارز باقی بماند می توان انتظار داشت که قدرت خرید متقاضیان مسکن به تدریج در بازه سه تا چهار ساله افزایش یابد. بدین معنا که از یک طرف با ثبات قیمت مسکن مواجه باشیم و از طرف دیگر تورم ثابت بماند. یعنی ثبات قیمت اسمی و کاهش قیمت واقعی مسکن را شاهد باشیم که در آن صورت با افزایش سطح درآمد عمومی، تحرک به شکل تدریجی در بازار مسکن ایجاد می شود. اگر اوضاع مشابه دوره های گذشته باشد خروج از رکود حداقل سه سال زمان خواهد برد.
37,                 افزایش مرگ‌ومیر ناشی از بیماری‌های روانی در سال‌های 1390 تا 1396             ,این پژوهش قرار است در ششمین شماره هجدهمین دوره نشریه پایش منتشر شود که نسخه الکترونیکی آن پیش از انتشار بر روی سایت نشریه پایش قرار گرفته است.
38,                 دستگیری باندسارقان مسلح در زاهدان             ,فرمانده انتظامی زاهدان با اشاره به اینکه متهمان برای تحقیقات تکمیلی و کشف سرقت های دیگر به پلیس آگاهی منتقل شده اند، عنوان کرد: دستگیری سارقان توسط مأموران انتظامی در راستای برقراری امنیت پایدار در سطح جامعه صورت می گیرد و پلیس با عزمی راسخ به هیچ وجه اجازه نمی دهد عده ای هنجار شکن با دست درازی به اموال مردم امنیت شهروندان را مختل کنند.
39,                 پیروزی نامزدهای مورد حمایت معترضان در انتخابات هنگ کنگ             ,معترضان هنگ کنگ هم‌اکنون خواستار جدایی کامل از چین شده‌اند و در مقابل نیز دولت چین نیز به کشورهای غربی و به طور خاص آمریکا و بریتانیا در خصوص دامن زدن به اعتراضات هنگ کنگ هشدار داده و خواستار توقف مداخله در امور هنگ کنگ شده است.
40,                 اتحادیه سواری کرایه: سواری‌های پلاک شخصی کرایه‌شان را براساس بنزین 3000 تومانی بالا برده اند/ مردم سوار نشوند             ,وی در خصوص وضعیت ترددها و تقاضا برای سفرهای بین‌شهری در پی تغییر قیمت بنزین، اظهار کرد: تاکنون تغییر خاصی در این باره رخ نداده است، اما باید صبر کنیم که در هفته‌ها و ماه‌های آتی مردم چه واکنشی نشان می‌دهند و میزان تقاضا افزایش پیدا می‌کند یا خیر.
41,                 رشد ۲ برابری سرطان روده بزرگ             ,مهرابیان از پشه «ایدس» نام برد و اضافه کرد: این پشه سه بیماری تب دنگی، زیکا و چیکونگونیا را ایجاد می کند. البته هنوز در ایران مشاهده نشده، اما در مرزها وجود دارد و به سرعت در حال گسترش است.
42,                 آغاز اتصال خطوط تلفن همراه ایرانسل به اینترنت از ۹ استان             ,اپراتور رایتل به ایلنا اعلام کرده است به محض اتصال اینترنت برای مشترکان پیامکی مبنی بر امکان استفاده از اینترنت ارسال خواهد شد.
43,                 جام جهانی کشتی فرنگی در ایران لغو شد             ,احتمالا برگزاری این رقابت‌ها در هفته‌های آینده تعیین تکلیف خواهد شد.
44,                 تمدید زمان ثبت‌نام درخواست وام‌های دانشجویی دانشگاه تهران             , بر اساس این اطلاعیه، زمان ثبت‌نام درخواست وام‌های دانشجویی نیمسال اول سال تحصیلی ۹۹-۹۸ در سامانه گلستان به نشانی ems.ut.ac.ir و پورتال دانشجویی به نشانی bp.swf.ir تا تاریخ ۲۵ آذر ۱۳۹۸ تمدید شده است.
45,                 نماینده مجلس: صیادان حتما باید سهمیه بنزین بگیرند             ,
46,                 رانش زمین در کنیا/ 60 کشته             ,در آوریل سال ۲۰۱۸، نیز زمین لرزه ای در کنیا باعث مرگ ۱۰۰ نفر و آواره شدن هزاران نفر دیگر در این کشور شده بود.
47,                 انتخابات مجلس؛ جزئیات ثبت‌نام از داوطلبان             ,
48,                 بهشت های مالیاتی جهان             ,کسب و کارهای خارجی در این کشور تنها ۵ درصد مالیات بر سود خود پرداخت می کنند و به همین دلیل مالت یکی از مقاصد محبوب سرمایه گذاری اتحادیه اروپا است. با این حال مقامات اروپایی با این کشور بر سر مساله جرائم مالیاتی اختلاف نظر جدی دارند.
49,                 بررسی تاثیر اصلاح قیمت بنزین بر کالاها و خدمات در دستور کار امروز مجلس             ,همچنین انتخاب یک نفر از اعضای کمیسیون بهداشت و درمان، برنامه و بودجه و اجتماعی مجلس به عنوان ناظر در شورای عالی سلامت غذایی در دستور کار قرار دارد.
50,                 نفت و انتخابات 2020؛ نامزدهای دموکرات آمریکاچه می‌گویند؟             , 
51,                 صفحه اول روزنامه های امروز (عکس)             , 
52,                 تصویب بیش از یک میلیون یورو پروژه جدید میان ایران و آژانس اتمی             ,
